model,checkpoint,total,toxic_total,nontoxic_total,orig_acc,cf_acc,prediction_consistency,toxic_prob_drop_mean,toxic_prob_drop_rate,toxic_to_nontoxic_flip_rate,nontoxic_prob_increase_mean,nontoxic_prob_increase_rate,nontoxic_to_toxic_flip_rate
full,E:\qxy\code\rgcl_llm\src\log_toxicn_mm\Retrieval\Toxicn_mm\best_model.pt,1200,370,830,0.795,0.8208333333333333,0.9008333333333334,0.14935700312961597,0.9405405405405406,0.11621621621621622,-0.06880562220888033,0.3253012048192771,0.0012048192771084338
no_cf,E:\qxy\code\rgcl_llm\src\log_toxicn_mm_cf\best_model.pt,1200,370,830,0.8216666666666667,0.8116666666666666,0.9583333333333334,0.009289307060424943,0.6162162162162163,0.002702702702702703,0.12132219661858931,0.9144578313253012,0.03614457831325301
